'Participant','Base Color','Trial','U','V','Direction','Frequency','Ratio','ThresholdUV','ThresholdLMS','U1','V1','L1','U2','V2','L2','R1','G1','B1','R2','G2','B2','L1','M1','S1','L2','M2','S2','ThresholdLMS_Corrected','U1_Corrected','V1_Corrected','L1_Corrected','U2_Corrected','V2_Corrected','L2_Corrected','R1_Corrected','G1_Corrected','B1_Corrected','R2_Corrected','G2_Corrected','B2_Corrected','L1_Corrected','M1_Corrected','S1_Corrected','L2_Corrected','M2_Corrected','S2_Corrected'
'kon',1,0,0.127304,0.52131,90,8,0.9979643522,0.0058542524,0.001873539,0.127304,0.5242371262,37.5382072852,0.127304,0.5183828738,37.4617927148,0.0368095238,0.3406190476,0.008452381,0.0357380952,0.3402142857,0.0103571429,0.0533720176,0.0566570111,0.010133037,0.0533121831,0.0568777443,0.0119925652,0.0023655164,0.1298728579,0.5193749641,42.3910004612,0.1299420816,0.5129380784,42.3060299144,0.0434047619,0.3833571429,0.0118809524,0.0421428571,0.3828571429,0.0142857143,0.0606615191,0.064232651,0.0137206043,0.0606039065,0.0645161614,0.016068363
'kon',1,1,0.127304,0.52131,90,8,0.9977602155,0.0064419811,0.00206077,0.127304,0.5245309905,37.5420430439,0.127304,0.5180890095,37.4579569561,0.0368571429,0.3406428571,0.0083571429,0.0356666667,0.3401904762,0.010452381,0.0533744118,0.0566463378,0.0100400771,0.0533054752,0.0568876072,0.0120855135,0.0025997648,0.129887357,0.5196409921,42.3966791089,0.1299391498,0.5126133902,42.3011916098,0.0434761905,0.3833809524,0.0117619048,0.0420714286,0.3828333333,0.0144047619,0.0606658672,0.0642187713,0.0136043779,0.0605995584,0.0645300411,0.0161845894
'kon',1,0,0.127304,0.52131,90,10,0.9966862672,0.0095359602,0.0030443561,0.127304,0.5260779801,37.562235606,0.127304,0.5165420199,37.437764394,0.0371428571,0.3407619048,0.0078571429,0.0353809524,0.3400952381,0.010952381,0.0533926504,0.0565905753,0.0095520227,0.0532904426,0.0569471427,0.0125736973,0.0038415933,0.1298478246,0.5213717098,42.4155226973,0.1299568771,0.5109318427,42.2800916055,0.0437857143,0.3835,0.0111428571,0.0417380952,0.3827142857,0.015047619,0.0606766206,0.0641437353,0.0129999443,0.0605868512,0.0646082836,0.0168122894
'kon',1,1,0.127304,0.52131,90,10,0.9971422892,0.0082217816,0.0026228963,0.127304,0.5254208908,37.5536587477,0.127304,0.5171991092,37.4463412523,0.0370238095,0.3407142857,0.0080714286,0.0355,0.3401428571,0.0107380952,0.0533859081,0.0566151283,0.0097612091,0.0532971849,0.0569225898,0.012364511,0.0033025119,0.1298748804,0.5206385438,42.4089403021,0.1299513372,0.511641793,42.2889276871,0.0436666667,0.383452381,0.0114047619,0.0418809524,0.3827619048,0.0147619048,0.0606745978,0.0641763219,0.013255687,0.0605908278,0.0645724906,0.0165332803
'kon',1,0,0.127304,0.52131,90,15,0.9909295325,0.0261778013,0.0083611436,0.127304,0.5343989006,37.670846093,0.127304,0.5082210994,37.329153907,0.0386428571,0.3413333333,0.0052380952,0.0338095238,0.339547619,0.0137380952,0.0534817795,0.0562903371,0.0069952655,0.0532080971,0.0572768405,0.0152934961,0.0105412283,0.1297703158,0.5305251962,42.5349392685,0.130022022,0.5019083921,42.1597845843,0.045547619,0.3841904762,0.0078095238,0.0399047619,0.382047619,0.0185238095,0.0607584367,0.0637507729,0.0097456175,0.0605094588,0.0650266886,0.0202063796
'kon',1,1,0.127304,0.52131,90,15,0.9917693381,0.0237440374,0.0075882884,0.127304,0.5331820187,37.6549626327,0.127304,0.5094379813,37.3450373673,0.0384285714,0.3412380952,0.0056190476,0.034047619,0.3396190476,0.0133333333,0.0534678889,0.0563322199,0.0073670935,0.0532207354,0.0572279782,0.0148982722,0.0095336462,0.1297802733,0.5291527671,42.5178438929,0.1300225437,0.5032256574,42.17830256,0.0452857143,0.3840952381,0.0083095238,0.0401666667,0.3821428571,0.018,0.0607477178,0.0638111189,0.010233813,0.060517818,0.0649623258,0.0196949059
'kon',1,0,0.127304,0.52131,90,20,0.9845364441,0.0447729238,0.0143331883,0.127304,0.5436964619,37.7922009049,0.127304,0.4989235381,37.2077990951,0.0402857143,0.342,0.0023809524,0.032,0.3389285714,0.016952381,0.0535860168,0.0559698857,0.0042063142,0.0531154729,0.0576594174,0.0184317969,0.018036701,0.1296781524,0.5407369503,42.6677441389,0.1301236184,0.4917663486,42.0271347108,0.047452381,0.3849761905,0.0042380952,0.0377857143,0.3812857143,0.0225714286,0.0608553611,0.0633375974,0.0062590967,0.0604241131,0.0655166797,0.0241584881
'kon',1,1,0.127304,0.52131,90,20,0.9783099228,0.06,0.0191977858,0.127304,0.55131,37.9111478626,0.127304,0.49131,37.0888521374,0.0416190476,0.3427380952,9.52E-05,0.030452381,0.3382619048,0.0196190476,0.0537004293,0.0557466217,0.0019762754,0.053009612,0.057950976,0.0210345695,0.0241647844,0.1296119825,0.5491723017,42.8025585531,0.130182981,0.4835743975,41.8955835308,0.049,0.3858809524,0.0013571429,0.0359761905,0.3805,0.0259285714,0.0609720443,0.0630476188,0.0034481147,0.0603232054,0.0658969455,0.0274355521
'kon',1,0,0.127304,0.52131,90,25,0.9783099228,0.06,0.0191977858,0.127304,0.55131,37.9111478626,0.127304,0.49131,37.0888521374,0.0416190476,0.3427380952,9.52E-05,0.030452381,0.3382619048,0.0196190476,0.0537004293,0.0557466217,0.0019762754,0.053009612,0.057950976,0.0210345695,0.0241647844,0.1296119825,0.5491723017,42.8025585531,0.130182981,0.4835743975,41.8955835308,0.049,0.3858809524,0.0013571429,0.0359761905,0.3805,0.0259285714,0.0609720443,0.0630476188,0.0034481147,0.0603232054,0.0658969455,0.0274355521
'kon',1,1,0.127304,0.52131,90,25,0.9783099228,0.06,0.0191977858,0.127304,0.55131,37.9111478626,0.127304,0.49131,37.0888521374,0.0416190476,0.3427380952,9.52E-05,0.030452381,0.3382619048,0.0196190476,0.0537004293,0.0557466217,0.0019762754,0.053009612,0.057950976,0.0210345695,0.0241647844,0.1296119825,0.5491723017,42.8025585531,0.130182981,0.4835743975,41.8955835308,0.049,0.3858809524,0.0013571429,0.0359761905,0.3805,0.0259285714,0.0609720443,0.0630476188,0.0034481147,0.0603232054,0.0658969455,0.0274355521
'kon',1,0,0.127304,0.52131,135,2,0.9991310108,0.0043685333,0.0009030406,0.1257594903,0.5228545097,37.5163006307,0.1288485097,0.5197654903,37.4836993693,0.0351904762,0.3418095238,0.008952381,0.0373571429,0.3390238095,0.0098571429,0.053288547,0.0568749123,0.0106275553,0.0533956536,0.056659843,0.011498047,0.0011335669,0.1283145367,0.5178184094,42.3609208816,0.1314915581,0.5144705315,42.3360539002,0.0415,0.3846904762,0.0125,0.044047619,0.3815,0.0136428571,0.0605573199,0.0644835502,0.0143321498,0.0607025399,0.0642574724,0.0154334099
'kon',1,1,0.127304,0.52131,135,2,0.9992233071,0.0039043658,0.0008079755,0.1259235982,0.5226904018,37.5145686487,0.1286844018,0.5199295982,37.4854313513,0.0353095238,0.3416666667,0.009,0.0372380952,0.3391666667,0.0098095238,0.0532955985,0.0568643593,0.0106733935,0.0533886021,0.0566703961,0.0114522087,0.0010151406,0.1284855577,0.517668782,42.3600932697,0.1313110049,0.5146830411,42.336052269,0.0416428571,0.3845238095,0.012547619,0.0439047619,0.3816666667,0.0135714286,0.0605654791,0.0644700344,0.0143778703,0.060692021,0.0642669713,0.0153644112
